GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,TRACTA,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URB_AREAA,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,FCL001
"G1701970","1990","IL",,,,,,,,"14","Will","197",,,"3","1602",,,,"3690","2","Illinois","17",,"0002168506","0000031563","Will County","A","+41439238","-087982396","06",89100
"G1701990","1990","IL",,,,,,,,"99","Williamson","199",,,"3","9999",,,,"9999","2","Illinois","17",,"0001098583","0000052401","Williamson County","A","+37730326","-088929541","06",40200
"G1702010","1990","IL",,,,,,,,"99","Winnebago","201",,,"3","6880",,,,"9999","2","Illinois","17",,"0001330846","0000014221","Winnebago County","A","+42331768","-089160603","06",59900
"G1702030","1990","IL",,,,,,,,"99","Woodford","203",,,"3","6120",,,,"9999","2","Illinois","17",,"0001367637","0000038176","Woodford County","A","+40785978","-089212257","06",57100
"G1800010","1990","IN",,,,,,,,"99","Adams","001",,,"3","9999",,,,"9999","2","Indiana","18",,"0000878973","0000001490","Adams County","A","+40745468","-084935843","06",50700
"G1800030","1990","IN",,,,,,,,"99","Allen","003",,,"3","2760",,,,"9999","2","Indiana","18",,"0001702366","0000007388","Allen County","A","+41091279","-085064170","06",59400
"G1800050","1990","IN",,,,,,,,"99","Bartholomew","005",,,"3","9999",,,,"9999","2","Indiana","18",,"0001053762","0000006528","Bartholomew County","A","+39205132","-085898204","06",56600
"G1800070","1990","IN",,,,,,,,"99","Benton","007",,,"3","9999",,,,"9999","2","Indiana","18",,"0001052399","0000000236","Benton County","A","+40605690","-087307734","06",38100
"G1800090","1990","IN",,,,,,,,"99","Blackford","009",,,"3","9999",,,,"9999","2","Indiana","18",,"0000427663","0000000766","Blackford County","A","+40473434","-085322568","06",31700
"G1800110","1990","IN",,,,,,,,"99","Boone","011",,,"3","3480",,,,"9999","2","Indiana","18",,"0001094913","0000001454","Boone County","A","+40051093","-086468727","06",70500
"G1800130","1990","IN",,,,,,,,"99","Brown","013",,,"3","9999",,,,"9999","2","Indiana","18",,"0000808838","0000011287","Brown County","A","+39195672","-086228533","06",63500
"G1800150","1990","IN",,,,,,,,"99","Carroll","015",,,"3","9999",,,,"9999","2","Indiana","18",,"0000964171","0000007246","Carroll County","A","+40583933","-086564568","06",45200
"G1800170","1990","IN",,,,,,,,"99","Cass","017",,,"3","9999",,,,"9999","2","Indiana","18",,"0001069384","0000005324","Cass County","A","+40760855","-086346564","06",40000
"G1800190","1990","IN",,,,,,,,"99","Clark","019",,,"3","4520",,,,"9999","2","Indiana","18",,"0000971678","0000002758","Clark County","A","+38477432","-085716444","06",49500
"G1800210","1990","IN",,,,,,,,"99","Clay","021",,,"3","8320",,,,"9999","2","Indiana","18",,"0000926302","0000007179","Clay County","A","+39395617","-087114852","06",34300
"G1800230","1990","IN",,,,,,,,"99","Clinton","023",,,"3","9999",,,,"9999","2","Indiana","18",,"0001049272","0000000462","Clinton County","A","+40299618","-086475786","06",40700
"G1800250","1990","IN",,,,,,,,"99","Crawford","025",,,"3","9999",,,,"9999","2","Indiana","18",,"0000791768","0000008207","Crawford County","A","+38285114","-086456196","06",31600
"G1800270","1990","IN",,,,,,,,"99","Daviess","027",,,"3","9999",,,,"9999","2","Indiana","18",,"0001115632","0000015903","Daviess County","A","+38702369","-087075782","06",40300
"G1800290","1990","IN",,,,,,,,"21","Dearborn","029",,,"3","1642",,,,"1640","2","Indiana","18",,"0000790581","0000004761","Dearborn County","A","+39149973","-084977076","06",59800
"G1800310","1990","IN",,,,,,,,"99","Decatur","031",,,"3","9999",,,,"9999","2","Indiana","18",,"0000965114","0000002107","Decatur County","A","+39304383","-085502051","06",45000
"G1800330","1990","IN",,,,,,,,"99","DeKalb","033",,,"3","2760",,,,"9999","2","Indiana","18",,"0000939925","0000002491","De Kalb County","A","+41395532","-084999715","06",50100
"G1800350","1990","IN",,,,,,,,"99","Delaware","035",,,"3","5280",,,,"9999","2","Indiana","18",,"0001018679","0000006819","Delaware County","A","+40225637","-085398211","06",41800
"G1800370","1990","IN",,,,,,,,"99","Dubois","037",,,"3","9999",,,,"9999","2","Indiana","18",,"0001113988","0000013308","Dubois County","A","+38364109","-086881299","06",57100
"G1800390","1990","IN",,,,,,,,"99","Elkhart","039",,,"3","2330",,,,"9999","2","Indiana","18",,"0001201341","0000010434","Elkhart County","A","+41596450","-085858939","06",62200
"G1800410","1990","IN",,,,,,,,"99","Fayette","041",,,"3","9999",,,,"9999","2","Indiana","18",,"0000556814","0000000400","Fayette County","A","+39643844","-085176249","06",40700
"G1800430","1990","IN",,,,,,,,"99","Floyd","043",,,"3","4520",,,,"9999","2","Indiana","18",,"0000383366","0000000811","Floyd County","A","+38319328","-085903094","06",57300
"G1800450","1990","IN",,,,,,,,"99","Fountain","045",,,"3","9999",,,,"9999","2","Indiana","18",,"0001024928","0000005766","Fountain County","A","+40122725","-087244396","06",36500
"G1800470","1990","IN",,,,,,,,"99","Franklin","047",,,"3","9999",,,,"9999","2","Indiana","18",,"0000999798","0000013812","Franklin County","A","+39422146","-085055745","06",51700
"G1800490","1990","IN",,,,,,,,"99","Fulton","049",,,"3","9999",,,,"9999","2","Indiana","18",,"0000954480","0000007424","Fulton County","A","+41043918","-086261468","06",42300
"G1800510","1990","IN",,,,,,,,"99","Gibson","051",,,"3","9999",,,,"9999","2","Indiana","18",,"0001266132","0000026478","Gibson County","A","+38309017","-087580462","06",44200
"G1800530","1990","IN",,,,,,,,"99","Grant","053",,,"3","9999",,,,"9999","2","Indiana","18",,"0001072353","0000002091","Grant County","A","+40515650","-085654440","06",39900
"G1800550","1990","IN",,,,,,,,"99","Greene","055",,,"3","9999",,,,"9999","2","Indiana","18",,"0001404133","0000009872","Greene County","A","+39036893","-086965961","06",36500
"G1800570","1990","IN",,,,,,,,"99","Hamilton","057",,,"3","3480",,,,"9999","2","Indiana","18",,"0001030863","0000012250","Hamilton County","A","+40071479","-086052183","06",105900
"G1800590","1990","IN",,,,,,,,"99","Hancock","059",,,"3","3480",,,,"9999","2","Indiana","18",,"0000793011","0000001483","Hancock County","A","+39823136","-085771030","06",72000
"G1800610","1990","IN",,,,,,,,"99","Harrison","061",,,"3","4520",,,,"9999","2","Indiana","18",,"0001256802","0000004301","Harrison County","A","+38199477","-086115724","06",51300
"G1800630","1990","IN",,,,,,,,"99","Hendricks","063",,,"3","3480",,,,"9999","2","Indiana","18",,"0001057822","0000001241","Hendricks County","A","+39768519","-086509229","06",75300
"G1800650","1990","IN",,,,,,,,"99","Henry","065",,,"3","9999",,,,"9999","2","Indiana","18",,"0001017754","0000005105","Henry County","A","+39931044","-085396942","06",36100
"G1800670","1990","IN",,,,,,,,"99","Howard","067",,,"3","3850",,,,"9999","2","Indiana","18",,"0000759087","0000002229","Howard County","A","+40481500","-086116261","06",51200
"G1800690","1990","IN",,,,,,,,"99","Huntington","069",,,"3","9999",,,,"9999","2","Indiana","18",,"0000990952","0000013851","Huntington County","A","+40828624","-085493672","06",44200
"G1800710","1990","IN",,,,,,,,"99","Jackson","071",,,"3","9999",,,,"9999","2","Indiana","18",,"0001319212","0000011497","Jackson County","A","+38907419","-086042927","06",44100
"G1800730","1990","IN",,,,,,,,"99","Jasper","073",,,"3","9999",,,,"9999","2","Indiana","18",,"0001450142","0000003515","Jasper County","A","+41025253","-087120484","06",54400
"G1800750","1990","IN",,,,,,,,"99","Jay","075",,,"3","9999",,,,"9999","2","Indiana","18",,"0000993682","0000000466","Jay County","A","+40434145","-085009125","06",31800
"G1800770","1990","IN",,,,,,,,"99","Jefferson","077",,,"3","9999",,,,"9999","2","Indiana","18",,"0000936004","0000004080","Jefferson County","A","+38785518","-085437427","06",44800
"G1800790","1990","IN",,,,,,,,"99","Jennings","079",,,"3","9999",,,,"9999","2","Indiana","18",,"0000977079","0000002919","Jennings County","A","+38996226","-085628193","06",43600
"G1800810","1990","IN",,,,,,,,"99","Johnson","081",,,"3","3480",,,,"9999","2","Indiana","18",,"0000829374","0000003519","Johnson County","A","+39489565","-086096135","06",71100
"G1800830","1990","IN",,,,,,,,"99","Knox","083",,,"3","9999",,,,"9999","2","Indiana","18",,"0001336074","0000021297","Knox County","A","+38690967","-087419017","06",39600
"G1800850","1990","IN",,,,,,,,"99","Kosciusko","085",,,"3","9999",,,,"9999","2","Indiana","18",,"0001392173","0000043618","Kosciusko County","A","+41243935","-085860558","06",60100
"G1800870","1990","IN",,,,,,,,"99","Lagrange","087",,,"3","9999",,,,"9999","2","Indiana","18",,"0000983105","0000018529","Lagrange County","A","+41642089","-085426159","06",54700
"G1800890","1990","IN",,,,,,,,"14","Lake","089",,,"3","1602",,,,"2960","2","Indiana","18",,"0001287291","0000335027","Lake County","A","+41475700","-087378699","06",53600
"G1800910","1990","IN",,,,,,,,"99","LaPorte","091",,,"3","9999",,,,"9999","2","Indiana","18",,"0001549536","0000038359","La Porte County","A","+41549160","-086744997","06",52100
"G1800930","1990","IN",,,,,,,,"99","Lawrence","093",,,"3","9999",,,,"9999","2","Indiana","18",,"0001162550","0000008377","Lawrence County","A","+38840431","-086485156","06",41700
"G1800950","1990","IN",,,,,,,,"99","Madison","095",,,"3","0400",,,,"9999","2","Indiana","18",,"0001171104","0000002021","Madison County","A","+40163100","-085720614","06",42800
"G1800970","1990","IN",,,,,,,,"99","Marion","097",,,"3","3480",,,,"9999","2","Indiana","18",,"0001026700","0000017359","Marion County","B","+39782000","-086137996","06",60700
"G1800990","1990","IN",,,,,,,,"99","Marshall","099",,,"3","9999",,,,"9999","2","Indiana","18",,"0001150745","0000014632","Marshall County","A","+41331343","-086262585","06",49500
"G1801010","1990","IN",,,,,,,,"99","Martin","101",,,"3","9999",,,,"9999","2","Indiana","18",,"0000870649","0000011377","Martin County","A","+38710796","-086801821","06",38200
"G1801030","1990","IN",,,,,,,,"99","Miami","103",,,"3","9999",,,,"9999","2","Indiana","18",,"0000973225","0000004194","Miami County","A","+40768873","-086048286","06",40300
"G1801050","1990","IN",,,,,,,,"99","Monroe","105",,,"3","1020",,,,"9999","2","Indiana","18",,"0001021433","0000043945","Monroe County","A","+39160850","-086523274","06",66100
"G1801070","1990","IN",,,,,,,,"99","Montgomery","107",,,"3","9999",,,,"9999","2","Indiana","18",,"0001306874","0000002092","Montgomery County","A","+40040938","-086892842","06",47800
"G1801090","1990","IN",,,,,,,,"99","Morgan","109",,,"3","3480",,,,"9999","2","Indiana","18",,"0001052821","0000007551","Morgan County","A","+39481849","-086447292","06",59600
"G1801110","1990","IN",,,,,,,,"99","Newton","111",,,"3","9999",,,,"9999","2","Indiana","18",,"0001040868","0000004363","Newton County","A","+40951340","-087402165","06",43800
"G1801130","1990","IN",,,,,,,,"99","Noble","113",,,"3","9999",,,,"9999","2","Indiana","18",,"0001064833","0000016833","Noble County","A","+41396191","-085417334","06",48600
"G1801150","1990","IN",,,,,,,,"99","Ohio","115",,,"3","9999",,,,"9999","2","Indiana","18",,"0000224635","0000001934","Ohio County","A","+38953656","-084967871","06",44900
"G1801170","1990","IN",,,,,,,,"99","Orange","117",,,"3","9999",,,,"9999","2","Indiana","18",,"0001034836","0000022485","Orange County","A","+38535137","-086495327","06",36600
"G1801190","1990","IN",,,,,,,,"99","Owen","119",,,"3","9999",,,,"9999","2","Indiana","18",,"0000997707","0000006833","Owen County","A","+39311847","-086838764","06",43200
"G1801210","1990","IN",,,,,,,,"99","Parke","121",,,"3","9999",,,,"9999","2","Indiana","18",,"0001152085","0000013719","Parke County","A","+39775039","-087207296","06",38000
"G1801230","1990","IN",,,,,,,,"99","Perry","123",,,"3","9999",,,,"9999","2","Indiana","18",,"0000987859","0000012815","Perry County","A","+38081514","-086643691","06",42500
"G1801250","1990","IN",,,,,,,,"99","Pike","125",,,"3","9999",,,,"9999","2","Indiana","18",,"0000870739","0000012709","Pike County","A","+38397615","-087233292","06",35800
"G1801270","1990","IN",,,,,,,,"14","Porter","127",,,"3","1602",,,,"2960","2","Indiana","18",,"0001083187","0000267870","Porter County","A","+41508393","-087070626","06",69300
"G1801290","1990","IN",,,,,,,,"99","Posey","129",,,"3","2440",,,,"9999","2","Indiana","18",,"0001058070","0000028353","Posey County","A","+38024092","-087861290","06",58400
"G1801310","1990","IN",,,,,,,,"99","Pulaski","131",,,"3","9999",,,,"9999","2","Indiana","18",,"0001123281","0000002318","Pulaski County","A","+41037371","-086694563","06",39900
"G1801330","1990","IN",,,,,,,,"99","Putnam","133",,,"3","9999",,,,"9999","2","Indiana","18",,"0001244084","0000005888","Putnam County","A","+39667443","-086843561","06",51300
"G1801350","1990","IN",,,,,,,,"99","Randolph","135",,,"3","9999",,,,"9999","2","Indiana","18",,"0001173013","0000000944","Randolph County","A","+40149924","-085005507","06",35600
"G1801370","1990","IN",,,,,,,,"99","Ripley","137",,,"3","9999",,,,"9999","2","Indiana","18",,"0001156148","0000004024","Ripley County","A","+39101885","-085260258","06",50100
"G1801390","1990","IN",,,,,,,,"99","Rush","139",,,"3","9999",,,,"9999","2","Indiana","18",,"0001057617","0000000792","Rush County","A","+39617418","-085468939","06",41200
"G1801410","1990","IN",,,,,,,,"99","St Joseph","141",,,"3","7800",,,,"9999","2","Indiana","18",,"0001184509","0000009408","St. Joseph County","A","+41617600","-086287560","06",50200
"G1801430","1990","IN",,,,,,,,"99","Scott","143",,,"3","9999",,,,"9999","2","Indiana","18",,"0000493135","0000006072","Scott County","A","+38686821","-085744206","06",37900
"G1801450","1990","IN",,,,,,,,"99","Shelby","145",,,"3","3480",,,,"9999","2","Indiana","18",,"0001068808","0000001222","Shelby County","A","+39523461","-085791160","06",51400
"G1801470","1990","IN",,,,,,,,"99","Spencer","147",,,"3","9999",,,,"9999","2","Indiana","18",,"0001032677","0000006579","Spencer County","A","+38010578","-087010857","06",46900
"G1801490","1990","IN",,,,,,,,"99","Starke","149",,,"3","9999",,,,"9999","2","Indiana","18",,"0000801145","0000007778","Starke County","A","+41281940","-086647558","06",40700
"G1801510","1990","IN",,,,,,,,"99","Steuben","151",,,"3","9999",,,,"9999","2","Indiana","18",,"0000799625","0000035639","Steuben County","A","+41644107","-085000493","06",60300
"G1801530","1990","IN",,,,,,,,"99","Sullivan","153",,,"3","9999",,,,"9999","2","Indiana","18",,"0001158312","0000017712","Sullivan County","A","+39089387","-087414121","06",32300
"G1801550","1990","IN",,,,,,,,"99","Switzerland","155",,,"3","9999",,,,"9999","2","Indiana","18",,"0000572911","0000006061","Switzerland County","A","+38824402","-085027328","06",38200
"G1801570","1990","IN",,,,,,,,"99","Tippecanoe","157",,,"3","3920",,,,"9999","2","Indiana","18",,"0001294579","0000008492","Tippecanoe County","A","+40387950","-086893666","06",65000
"G1801590","1990","IN",,,,,,,,"99","Tipton","159",,,"3","3850",,,,"9999","2","Indiana","18",,"0000674452","0000000059","Tipton County","A","+40309855","-086051606","06",50100
"G1801610","1990","IN",,,,,,,,"99","Union","161",,,"3","9999",,,,"9999","2","Indiana","18",,"0000418437","0000009584","Union County","A","+39622763","-084922882","06",42300
"G1801630","1990","IN",,,,,,,,"99","Vanderburgh","163",,,"3","2440",,,,"9999","2","Indiana","18",,"0000607577","0000003029","Vanderburgh County","A","+38023000","-087583527","06",51300
"G1801650","1990","IN",,,,,,,,"99","Vermillion","165",,,"3","9999",,,,"9999","2","Indiana","18",,"0000665380","0000007893","Vermillion County","A","+39853961","-087462188","06",32300
"G1801670","1990","IN",,,,,,,,"99","Vigo","167",,,"3","8320",,,,"9999","2","Indiana","18",,"0001044609","0000018580","Vigo County","A","+39428800","-087390270","06",39300
"G1801690","1990","IN",,,,,,,,"99","Wabash","169",,,"3","9999",,,,"9999","2","Indiana","18",,"0001070173","0000020468","Wabash County","A","+40847123","-085790382","06",43500
"G1801710","1990","IN",,,,,,,,"99","Warren","171",,,"3","9999",,,,"9999","2","Indiana","18",,"0000945111","0000004449","Warren County","A","+40345148","-087355756","06",39900
"G1801730","1990","IN",,,,,,,,"99","Warrick","173",,,"3","2440",,,,"9999","2","Indiana","18",,"0000994789","0000017574","Warrick County","A","+38098371","-087271484","06",65000
"G1801750","1990","IN",,,,,,,,"99","Washington","175",,,"3","9999",,,,"9999","2","Indiana","18",,"0001332440","0000005480","Washington County","A","+38599282","-086105592","06",39900
"G1801770","1990","IN",,,,,,,,"99","Wayne","177",,,"3","9999",,,,"9999","2","Indiana","18",,"0001045261","0000002075","Wayne County","A","+39862372","-085006383","06",42200
"G1801790","1990","IN",,,,,,,,"99","Wells","179",,,"3","9999",,,,"9999","2","Indiana","18",,"0000958265","0000001156","Wells County","A","+40727466","-085220403","06",52800
"G1801810","1990","IN",,,,,,,,"99","White","181",,,"3","9999",,,,"9999","2","Indiana","18",,"0001308619","0000009234","White County","A","+40747598","-086864802","06",46800
"G1801830","1990","IN",,,,,,,,"99","Whitley","183",,,"3","2760",,,,"9999","2","Indiana","18",,"0000869026","0000006165","Whitley County","A","+41135419","-085503942","06",56100
"G1900010","1990","IA",,,,,,,,"99","Adair","001",,,"4","9999",,,,"9999","2","Iowa","19",,"0001474561","0000002596","Adair County","A","+41327177","-094466243","06",29800
